FIPS,Name,County,State
01001,Autauga,Autauga County,AL
01003,Baldwin,Baldwin County,AL
01005,Barbour,Barbour County,AL
01007,Bibb,Bibb County,AL
01009,Blount,Blount County,AL
01011,Bullock,Bullock County,AL
01013,Butler,Butler County,AL
01015,Calhoun,Calhoun County,AL
01017,Chambers,Chambers County,AL
01019,Cherokee,Cherokee County,AL
01021,Chilton,Chilton County,AL
01023,Choctaw,Choctaw County,AL
01025,Clarke,Clarke County,AL
01027,Clay,Clay County,AL
01029,Cleburne,Cleburne County,AL
01031,Coffee,Coffee County,AL
01033,Colbert,Colbert County,AL
01035,Conecuh,Conecuh County,AL
01037,Coosa,Coosa County,AL
01039,Covington,Covington County,AL
01041,Crenshaw,Crenshaw County,AL
01043,Cullman,Cullman County,AL
01045,Dale,Dale County,AL
01047,Dallas,Dallas County,AL
01049,De Kalb,De Kalb County,AL
01051,Elmore,Elmore County,AL
01053,Escambia,Escambia County,AL
01055,Etowah,Etowah County,AL
01057,Fayette,Fayette County,AL
01059,Franklin,Franklin County,AL
01061,Geneva,Geneva County,AL
01063,Greene,Greene County,AL
01065,Hale,Hale County,AL
01067,Henry,Henry County,AL
01069,Houston,Houston County,AL
01071,Jackson,Jackson County,AL
01073,Jefferson,Jefferson County,AL
01075,Lamar,Lamar County,AL
01077,Lauderdale,Lauderdale County,AL
01079,Lawrence,Lawrence County,AL
01081,Lee,Lee County,AL
01083,Limestone,Limestone County,AL
01085,Lowndes,Lowndes County,AL
01087,Macon,Macon County,AL
01089,Madison,Madison County,AL
01091,Marengo,Marengo County,AL
01093,Marion,Marion County,AL
01095,Marshall,Marshall County,AL
01097,Mobile,Mobile County,AL
01099,Monroe,Monroe County,AL
01101,Montgomery,Montgomery County,AL
01103,Morgan,Morgan County,AL
01105,Perry,Perry County,AL
01107,Pickens,Pickens County,AL
01109,Pike,Pike County,AL
01111,Randolph,Randolph County,AL
01113,Russell,Russell County,AL
01115,St Clair,St Clair County,AL
01117,Shelby,Shelby County,AL
01119,Sumter,Sumter County,AL
01121,Talladega,Talladega County,AL
01123,Tallapoosa,Tallapoosa County,AL
01125,Tuscaloosa,Tuscaloosa County,AL
01127,Walker,Walker County,AL
01129,Washington,Washington County,AL
01131,Wilcox,Wilcox County,AL
01133,Winston,Winston County,AL
02013,Aleutians East,Aleutians East County,AK
02016,Aleutians West,Aleutians West County,AK
02020,Anchorage,Anchorage County,AK
02050,Bethel,Bethel County,AK
02060,Bristol Bay,Bristol Bay County,AK
02068,Denali,Denali County,AK
02070,Dillingham,Dillingham County,AK
02090,Fairbanks North Star,Fairbanks North Star County,AK
02100,Haines,Haines County,AK
02110,Juneau,Juneau County,AK
02122,Kenai Peninsula,Kenai Peninsula County,AK
02130,Ketchikan Gateway,Ketchikan Gateway County,AK
02150,Kodiak Island,Kodiak Island County,AK
02164,Lake and Peninsula,Lake and Peninsula County,AK
02170,Matanuska-Susitna,Matanuska-Susitna County,AK
02180,Nome,Nome County,AK
02185,North Slope,North Slope County,AK
02188,Northwest Arctic,Northwest Arctic County,AK
02201,Prince of Wales-Outer Ketchikan,Prince of Wales-Outer Ketchikan County,AK
02220,Sitka,Sitka County,AK
02232,Skagway-Hoonah-Angoon,Skagway-Hoonah-Angoon County,AK
02240,Southeast Fairbanks,Southeast Fairbanks County,AK
02261,Valdez-Cordova,Valdez-Cordova County,AK
02270,Wade Hampton,Wade Hampton County,AK
02280,Wrangell-Petersburg,Wrangell-Petersburg County,AK
02282,Yakutat,Yakutat County,AK
02290,Yukon-Koyukuk,Yukon-Koyukuk County,AK
04001,Apache,Apache County,AZ
04003,Cochise,Cochise County,AZ
04005,Coconino,Coconino County,AZ
04007,Gila,Gila County,AZ
04009,Graham,Graham County,AZ
04011,Greenlee,Greenlee County,AZ
04012,La Paz,La Paz County,AZ
04013,Maricopa,Maricopa County,AZ
04015,Mohave,Mohave County,AZ
04017,Navajo,Navajo County,AZ
04019,Pima,Pima County,AZ
04021,Pinal,Pinal County,AZ
04023,Santa Cruz,Santa Cruz County,AZ
04025,Yavapai,Yavapai County,AZ
04027,Yuma,Yuma County,AZ
05001,Arkansas,Arkansas County,AR
05003,Ashley,Ashley County,AR
05005,Baxter,Baxter County,AR
05007,Benton,Benton County,AR
05009,Boone,Boone County,AR
05011,Bradley,Bradley County,AR
05013,Calhoun,Calhoun County,AR
05015,Carroll,Carroll County,AR
05017,Chicot,Chicot County,AR
05019,Clark,Clark County,AR
05021,Clay,Clay County,AR
05023,Cleburne,Cleburne County,AR
05025,Cleveland,Cleveland County,AR
05027,Columbia,Columbia County,AR
05029,Conway,Conway County,AR
05031,Craighead,Craighead County,AR
05033,Crawford,Crawford County,AR
05035,Crittenden,Crittenden County,AR
05037,Cross,Cross County,AR
05039,Dallas,Dallas County,AR
05041,Desha,Desha County,AR
05043,Drew,Drew County,AR
05045,Faulkner,Faulkner County,AR
05047,Franklin,Franklin County,AR
05049,Fulton,Fulton County,AR
05051,Garland,Garland County,AR
05053,Grant,Grant County,AR
05055,Greene,Greene County,AR
05057,Hempstead,Hempstead County,AR
05059,Hot Spring,Hot Spring County,AR
05061,Howard,Howard County,AR
05063,Independence,Independence County,AR
05065,Izard,Izard County,AR
05067,Jackson,Jackson County,AR
05069,Jefferson,Jefferson County,AR
05071,Johnson,Johnson County,AR
05073,Lafayette,Lafayette County,AR
05075,Lawrence,Lawrence County,AR
05077,Lee,Lee County,AR
05079,Lincoln,Lincoln County,AR
05081,Little River,Little River County,AR
05083,Logan,Logan County,AR
05085,Lonoke,Lonoke County,AR
05087,Madison,Madison County,AR
05089,Marion,Marion County,AR
05091,Miller,Miller County,AR
05093,Mississippi,Mississippi County,AR
05095,Monroe,Monroe County,AR
05097,Montgomery,Montgomery County,AR
05099,Nevada,Nevada County,AR
05101,Newton,Newton County,AR
05103,Ouachita,Ouachita County,AR
05105,Perry,Perry County,AR
05107,Phillips,Phillips County,AR
05109,Pike,Pike County,AR
05111,Poinsett,Poinsett County,AR
05113,Polk,Polk County,AR
05115,Pope,Pope County,AR
05117,Prairie,Prairie County,AR
05119,Pulaski,Pulaski County,AR
05121,Randolph,Randolph County,AR
05123,St Francis,St Francis County,AR
05125,Saline,Saline County,AR
05127,Scott,Scott County,AR
05129,Searcy,Searcy County,AR
05131,Sebastian,Sebastian County,AR
